"","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn","TestPredictBinary"
"3083","Male","NO","No","No",51,"Yes","Yes","DSL","Yes","No","No","Yes","No","No","One year","No","Credit card (automatic)",59.9,3043.6,0,0
"3087","Male","NO","No","No",17,"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",95.65,1640,0,0
"3093","Female","NO","No","No",1,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",25.1,25.1,1,1
"3094","Male","NO","No","Yes",28,"Yes","No","DSL","No","Yes","No","Yes","No","No","One year","Yes","Credit card (automatic)",54.4,1516.6,0,0
"3095","Female","NO","No","No",39,"Yes","No","DSL","No","Yes","No","No","Yes","No","One year","Yes","Credit card (automatic)",58.6,2224.5,0,0
"3102","Female","NO","No","No",58,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",79.8,4526.85,0,0
"3106","Male","NO","No","No",26,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",49.15,1237.3,0,0
"3108","Female","NO","Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",113.65,8182.75,0,0
"3109","Female","NO","No","Yes",43,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",106,4532.3,0,0
"3125","Male","NO","Yes","Yes",68,"Yes","No","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",82.85,5776.45,0,0
"3140","Male","NO","No","No",2,"No","No phone service","DSL","No","No","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",29.85,75.6,1,0
"3141","Male","NO","No","No",14,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Electronic check",76.45,1117.55,0,0
"3144","Male","NO","Yes","Yes",13,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","No","Month-to-month","Yes","Electronic check",72.8,930.05,0,0
"3145","Male","NO","No","No",6,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",18.95,110.15,0,0
"3150","Female","NO","No","No",8,"Yes","No","DSL","No","No","Yes","Yes","No","Yes","Month-to-month","No","Mailed check",64.1,504.05,0,0
"3154","Female","NO","No","No",23,"Yes","Yes","DSL","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",54.4,1249.25,0,0
"3157","Female","NO","No","No",25,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.05,461.3,0,0
"3158","Male","NO","No","No",9,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",44.95,431,1,0
"3160","Male","YES","No","No",3,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.85,335.75,0,1
"3164","Male","YES","No","No",39,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","No","Electronic check",90.7,3413.25,0,0
"3172","Female","NO","No","No",21,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Credit card (automatic)",20.85,435.25,0,0
"3173","Male","NO","No","Yes",25,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.9,2448.75,1,1
"3175","Male","NO","Yes","No",58,"No","No phone service","DSL","No","No","No","No","Yes","Yes","One year","Yes","Credit card (automatic)",45,2689.35,0,0
"3176","Male","YES","Yes","No",17,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Bank transfer (automatic)",81.5,1329.2,1,0
"3178","Male","NO","Yes","Yes",72,"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","No","Two year","No","Mailed check",48.9,3527,0,0
"3185","Female","NO","Yes","No",71,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",83.3,5894.5,0,0
"3187","Female","NO","Yes","Yes",58,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",20.3,1160.75,0,0
"3193","Male","NO","No","No",58,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",19.15,1035.5,0,0
"3195","Female","YES","Yes","No",43,"No","No phone service","DSL","No","Yes","Yes","No","Yes","Yes","Month-to-month","No","Credit card (automatic)",55.55,2342.2,1,0
"3196","Female","NO","No","No",9,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","No","Electronic check",80.55,653.9,0,1
"3200","Female","NO","No","No",68,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",25.5,1821.8,0,0
"3203","Male","NO","No","No",1,"Yes","No","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",55.25,55.25,0,1
"3206","Female","NO","Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",117.6,8308.9,0,0
"3208","Female","NO","No","No",5,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Credit card (automatic)",19.65,92.05,0,0
"3212","Female","NO","No","No",17,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)",20.05,337.9,0,0
"3216","Male","NO","Yes","No",41,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",80.25,3439,0,0
"3219","Male","NO","No","No",68,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","One year","No","Credit card (automatic)",79.6,5461.45,0,0
"3221","Male","NO","Yes","No",70,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","Yes","Two year","No","Credit card (automatic)",77.3,5498.2,0,0
"3222","Male","NO","No","No",3,"No","No phone service","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Electronic check",29.75,96.85,0,1
"3224","Male","NO","Yes","No",3,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","No","Credit card (automatic)",29.8,94.4,0,0
"3228","Male","NO","Yes","Yes",12,"Yes","No","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Mailed check",56.3,628.65,0,0
"3234","Male","YES","Yes","No",4,"No","No phone service","DSL","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",29.9,118.25,0,1
"3236","Female","NO","No","No",61,"No","No phone service","DSL","Yes","Yes","Yes","Yes","No","No","One year","No","Credit card (automatic)",43.7,2696.55,0,0
"3239","Female","NO","Yes","Yes",26,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.65,494.9,0,0
"3240","Male","NO","No","No",16,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Mailed check",49.45,799,0,0
"3242","Male","NO","No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.1,20.1,1,0
"3243","Male","NO","No","Yes",5,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20.45,106.9,0,0
"3246","Female","NO","Yes","Yes",23,"Yes","No","Fiber optic","No","Yes","Yes","Yes","No","No","Month-to-month","No","Electronic check",83.8,1900.25,1,0
"3249","Male","YES","Yes","No",10,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",86.65,856.65,1,1
"3250","Female","NO","Yes","Yes",10,"Yes","No","DSL","No","Yes","Yes","No","No","No","Month-to-month","Yes","Mailed check",55.55,551.3,0,0
"3251","Male","NO","Yes","No",11,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Mailed check",20.55,184.95,0,0
"3254","Female","NO","Yes","Yes",36,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",104.5,3684.95,0,0
"3256","Female","YES","Yes","Yes",66,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",110.6,7210.85,0,0
"3262","Female","NO","Yes","Yes",68,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",85,5607.75,0,0
"3264","Female","NO","Yes","Yes",52,"Yes","No","Fiber optic","No","Yes","Yes","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",85.8,4433.3,0,0
"3270","Male","NO","No","No",65,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)",24.8,1600.95,0,0
"3273","Male","NO","No","No",1,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",81.7,81.7,1,1
"3276","Female","NO","Yes","No",14,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20.4,292.4,0,0
"3280","Male","NO","Yes","Yes",23,"Yes","No","DSL","Yes","No","No","Yes","No","No","One year","No","Credit card (automatic)",57.2,1423.35,0,0
"3281","Male","NO","Yes","No",55,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","Two year","No","Electronic check",58.6,3068.6,0,0
"3283","Male","NO","Yes","No",60,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","No","Bank transfer (automatic)",102.5,6157.6,0,0
"3292","Female","NO","Yes","Yes",24,"Yes","No","DSL","Yes","No","No","Yes","No","No","Month-to-month","No","Electronic check",55.15,1319.85,0,0
"3294","Female","NO","No","No",5,"Yes","Yes","DSL","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",64,370.25,0,1
"3297","Female","NO","No","No",24,"Yes","No","DSL","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",49.3,1233.25,0,0
"3302","Female","YES","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.6,69.6,1,1
"3307","Female","NO","Yes","Yes",3,"Yes","No","Fiber optic","No","Yes","No","Yes","No","No","Month-to-month","Yes","Electronic check",80,241.3,0,1
"3315","Female","NO","No","No",37,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","One year","No","Electronic check",80.05,3019.1,0,0
"3317","Female","NO","Yes","No",26,"No","No phone service","DSL","Yes","Yes","Yes","No","Yes","No","One year","No","Bank transfer (automatic)",47.85,1190.5,0,0
"3318","Male","NO","Yes","No",63,"Yes","No","DSL","Yes","Yes","No","Yes","Yes","No","One year","No","Credit card (automatic)",70.8,4448.8,0,0
"3322","Female","NO","Yes","No",64,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",25.55,1714.95,0,0
"3325","Female","NO","No","No",1,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Electronic check",75.55,75.55,0,1
"3326","Male","NO","No","No",4,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",85.65,338.9,1,1
"3327","Male","YES","No","No",38,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","No","One year","Yes","Credit card (automatic)",70.15,2497.35,1,0
"3328","Male","NO","Yes","No",66,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","One year","No","Electronic check",95.3,6273.4,0,0
"3334","Male","NO","No","Yes",12,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",19.35,212.3,0,0
"3338","Female","NO","No","No",7,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",75.35,564.65,0,1
"3345","Male","NO","No","No",10,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",74.15,811.8,1,1
"3347","Female","YES","No","No",2,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",84.05,186.05,0,1
"3354","Male","NO","Yes","No",12,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",85.05,999.8,0,1
"3358","Female","NO","No","Yes",1,"Yes","No","DSL","No","No","Yes","No","No","Yes","Month-to-month","No","Electronic check",59.2,59.2,1,0
"3362","Female","YES","No","No",64,"Yes","Yes","DSL","No","Yes","Yes","Yes","No","Yes","Month-to-month","No","Credit card (automatic)",74.65,4869.35,0,0
"3366","Male","NO","No","No",19,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.65,358.15,0,0
"3376","Female","NO","Yes","Yes",71,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",19.9,1389.35,0,0
"3379","Male","NO","Yes","No",72,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",84.45,6033.1,0,0
"3381","Male","YES","Yes","No",1,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.1,95.1,1,1
"3391","Male","NO","Yes","No",56,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)",19.95,1126.75,0,0
"3394","Male","NO","Yes","No",62,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",107.6,6912.7,0,0
"3396","Male","NO","No","No",62,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","Month-to-month","No","Bank transfer (automatic)",90.7,5586.45,0,0
"3399","Female","NO","Yes","Yes",61,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","Yes","One year","Yes","Credit card (automatic)",100.7,6018.65,0,0
"3401","Male","NO","No","No",18,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","No","Bank transfer (automatic)",84.3,1537.9,0,1
"3402","Female","NO","No","No",56,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",19.55,1080.55,0,0
"3404","Female","NO","No","No",4,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Credit card (automatic)",20.45,82.85,0,0
"3413","Male","NO","Yes","Yes",2,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","No","Mailed check",59.5,130.5,0,0
"3419","Male","NO","Yes","No",54,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","No","Electronic check",109.55,6118.95,0,0
"3423","Female","NO","No","No",70,"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",58.35,4214.25,0,0
"3424","Male","NO","No","Yes",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",50.6,50.6,1,0
"3426","Female","NO","Yes","Yes",28,"Yes","No","Fiber optic","No","No","No","No","No","No","One year","Yes","Bank transfer (automatic)",70.4,1992.2,0,0
"3427","Male","NO","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.8,69.8,1,1
"3428","Female","NO","Yes","No",21,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.3,1948.35,0,1
"3429","Male","YES","Yes","No",51,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",93.8,4750.95,1,0
"3430","Female","NO","Yes","Yes",53,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)",19.55,1007.9,0,0
"3439","Male","NO","Yes","No",18,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.7,1687.95,1,1
"3448","Male","NO","No","No",39,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","One year","No","Credit card (automatic)",81.4,3213.75,0,0
"3452","Male","YES","Yes","No",65,"Yes","No","Fiber optic","No","No","No","No","No","No","One year","Yes","Bank transfer (automatic)",70.95,4555.2,0,0
"3453","Male","NO","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",44.95,44.95,0,0
"3460","Female","NO","Yes","Yes",30,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",25.1,789.55,0,0
"3463","Male","NO","No","No",7,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Mailed check",85.2,602.55,1,1
"3467","Male","NO","Yes","Yes",72,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Credit card (automatic)",25.1,1790.8,0,0
"3468","Male","YES","No","No",5,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",91.4,449.75,1,1
"3474","Male","NO","Yes","No",42,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",106.15,4512.7,1,0
"3475","Male","YES","Yes","Yes",65,"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",85.75,5688.45,0,0
"3478","Female","NO","No","No",18,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.15,1345.75,0,1
"3488","Female","NO","Yes","Yes",52,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",20.1,1078.75,0,0
"3492","Male","NO","Yes","No",44,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","No","One year","Yes","Electronic check",70.95,3250.45,0,0
"3493","Female","NO","No","No",3,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","No","Mailed check",29.2,98.5,0,0
"3496","Male","YES","No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",75.35,75.35,1,1
"3512","Male","NO","No","No",53,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",24.6,1279,0,0
"3514","Male","NO","Yes","Yes",11,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)",20.95,267.35,0,0
"3517","Male","NO","No","No",3,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",43.3,123.65,1,1
"3524","Female","NO","Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",112.1,7965.95,0,0
"3525","Female","YES","No","No",11,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",84.8,906.85,1,1
"3531","Female","NO","No","No",17,"Yes","Yes","DSL","No","No","Yes","Yes","Yes","No","Month-to-month","Yes","Mailed check",69,1108,0,0
"3532","Female","NO","No","No",16,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)",19.35,295.55,0,0
"3533","Female","NO","No","No",15,"Yes","No","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",59.45,892.65,1,0
"3537","Female","NO","No","No",1,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",79.15,79.15,0,1
"3539","Male","NO","Yes","Yes",71,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","No","Two year","No","Credit card (automatic)",100.2,7209,0,0
"3540","Male","NO","No","No",8,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",45.15,438.4,1,0
"3548","Male","YES","Yes","No",70,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",90.05,6333.4,0,0
"3551","Male","NO","No","No",32,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",96.2,3183.4,1,0
"3553","Male","NO","No","No",68,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","Yes","Two year","Yes","Bank transfer (automatic)",102.1,7149.35,0,0
"3557","Male","NO","Yes","Yes",6,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.45,113.5,0,0
"3558","Female","YES","No","No",33,"No","No phone service","DSL","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",59.45,1884.65,0,0
"3561","Male","NO","No","No",7,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",43.9,278.4,0,0
"3562","Male","NO","No","No",26,"Yes","Yes","Fiber optic","No","No","No","Yes","No","No","Month-to-month","Yes","Electronic check",80.5,2088.8,1,0
"3563","Male","YES","No","No",5,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",89.8,502.6,1,1
"3564","Male","YES","No","No",30,"Yes","Yes","Fiber optic","Yes","No","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",90.5,2595.85,0,0
"3570","Male","NO","No","No",17,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.95,310.6,0,0
"3574","Female","NO","Yes","Yes",28,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Bank transfer (automatic)",19.55,543.8,0,0
"3578","Male","NO","No","No",36,"Yes","No","DSL","No","Yes","No","Yes","No","Yes","One year","Yes","Mailed check",65.4,2498.4,1,0
"3579","Female","NO","No","No",40,"Yes","No","DSL","Yes","Yes","No","No","Yes","No","Month-to-month","No","Mailed check",65.1,2586,0,0
"3581","Female","NO","No","Yes",9,"Yes","No","DSL","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Mailed check",72.9,651.4,1,0
"3585","Male","NO","Yes","No",8,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",75,658.1,0,0
"3587","Male","NO","No","No",5,"No","No phone service","DSL","Yes","No","Yes","Yes","No","No","Month-to-month","No","Mailed check",40,223.45,1,0
"3592","Female","NO","No","No",2,"Yes","No","Fiber optic","Yes","Yes","No","Yes","No","No","Month-to-month","Yes","Electronic check",86.25,181.65,1,0
"3593","Female","NO","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",45.65,45.65,1,1
"3596","Female","YES","No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",70.2,115.95,1,1
"3598","Male","NO","Yes","No",25,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",95.7,2338.35,0,0
"3599","Male","YES","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",46.3,46.3,0,0
"3609","Male","NO","No","No",39,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",75.25,3017.65,1,0
"3612","Male","NO","No","No",41,"Yes","No","Fiber optic","No","Yes","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",99.65,4220.35,0,0
"3616","Male","YES","Yes","Yes",26,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","No","Electronic check",105.75,2710.25,1,1
"3619","Male","NO","Yes","Yes",47,"Yes","Yes","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",54.25,2538.2,0,0
"3620","Female","NO","Yes","Yes",72,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",85.3,6129.2,0,0
"3622","Female","NO","Yes","Yes",2,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",24.4,36.55,1,1
"3624","Male","YES","Yes","No",37,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",72.25,2575.45,0,0
"3626","Female","NO","Yes","No",71,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.85,1379.6,0,0
"3633","Female","NO","Yes","No",24,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",79.65,1928.7,0,1
"3645","Male","NO","No","Yes",39,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",25,1004.35,0,0
"3649","Female","NO","Yes","Yes",51,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","One year","Yes","Electronic check",90.15,4554.85,0,0
"3650","Male","NO","Yes","Yes",71,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",25.35,1847.55,0,0
"3658","Female","NO","Yes","Yes",37,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",24.1,861.85,0,0
"3660","Male","NO","Yes","No",67,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","No","Credit card (automatic)",109.9,7332.4,0,0
"3665","Male","NO","No","No",4,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Mailed check",50.8,202.3,0,0
"3669","Male","NO","Yes","No",22,"Yes","No","DSL","Yes","No","No","No","Yes","No","One year","Yes","Bank transfer (automatic)",59.75,1374.35,0,0
"3670","Male","NO","No","No",44,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",111.5,4915.15,0,0
"3673","Female","NO","Yes","No",54,"Yes","Yes","DSL","No","No","No","No","Yes","Yes","One year","Yes","Credit card (automatic)",70.15,3715.65,1,0
"3675","Female","NO","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",45.8,45.8,1,0
"3682","Male","YES","Yes","No",46,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",101,4680.05,1,1
"3684","Male","NO","Yes","No",71,"Yes","No","DSL","Yes","No","No","Yes","No","No","Two year","No","Bank transfer (automatic)",54.5,3778.2,0,0
"3688","Male","NO","Yes","Yes",19,"Yes","No","Fiber optic","No","Yes","No","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",100,1888.65,1,0
"3690","Female","YES","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",71.15,71.15,1,1
"3692","Female","NO","Yes","No",40,"Yes","Yes","DSL","No","Yes","No","No","Yes","No","One year","No","Bank transfer (automatic)",63.9,2635,0,0
"3696","Female","NO","Yes","Yes",32,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",98.85,3089.6,0,1
"3697","Female","NO","Yes","No",6,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Electronic check",49.15,270.8,1,0
"3699","Female","NO","No","No",59,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",83.25,4949.1,0,0
